Year,Month,EFPG_code,Metroregion_code,price_per_gram
2016,1,10000,0,0.005247366213190586
2016,1,10000,1,0.005546835390077633
2016,1,10000,2,0.0047101663710258
2016,1,10000,3,0.005359467725426302
2016,1,10000,4,0.005291731083738396
2016,1,10000,12060,0.0053006828710824416
2016,1,10000,14460,0.005929896364683987
2016,1,10000,16980,0.004608517785558329
2016,1,10000,19100,0.005078461102773492
2016,1,10000,19820,0.004362811772447536
2016,1,10000,26420,0.005143965975845067
2016,1,10000,31080,0.005176591092806027
2016,1,10000,33100,0.00580179389624638
2016,1,10000,35620,0.005364353365054611
2016,1,10000,37980,0.0052938044748174805
2016,1,10025,0,0.006026130348490782
2016,1,10025,1,0.006104189196639718
2016,1,10025,2,0.006149895871663214
2016,1,10025,3,0.005913255908339664
2016,1,10025,4,0.006015923829043852
2016,1,10025,12060,0.005917046608585677
2016,1,10025,14460,0.006114476140767065
2016,1,10025,16980,0.006120199801471907
2016,1,10025,19100,0.005934407844131062
2016,1,10025,19820,0.0063192574054513635
2016,1,10025,26420,0.005905991598717545
2016,1,10025,31080,0.005961631602003522
2016,1,10025,33100,0.0058597283182977395
2016,1,10025,35620,0.006174249091119702
2016,1,10025,37980,0.005980571189551426
2016,1,10050,0,0.004332900608506117
2016,1,10050,1,0.004704773275435493
2016,1,10050,2,0.004143866725226013
2016,1,10050,3,0.004299850698518368
2016,1,10050,4,0.004239144306783178
2016,1,10050,12060,0.004266008745284162
2016,1,10050,14460,0.00433500299291374
2016,1,10050,16980,0.004382686445924742
2016,1,10050,19100,0.004084216211592785
2016,1,10050,19820,0.003459456119732139
2016,1,10050,26420,0.00382522364751318
2016,1,10050,31080,0.004438268668110608
2016,1,10050,33100,0.004775606097363386
2016,1,10050,35620,0.005142309504573113
2016,1,10050,37980,0.004507018630009583
2016,1,10075,0,0.0025067091960765085
2016,1,10075,1,0.002766987945936913
2016,1,10075,2,0.0022232964082381543
2016,1,10075,3,0.002350522789126693
2016,1,10075,4,0.002711642216485818
2016,1,10075,12060,0.0023176779497914033
2016,1,10075,14460,0.0026850250378754104
2016,1,10075,16980,0.0023534026979904837
2016,1,10075,19100,0.002195924167912543
